,won
2903,0
10726,0
4083,0
28547,0
9290,1
57688,0
63572,0
15821,0
27475,0
56546,0
4866,0
52284,0
17129,0
31231,0
38384,0
45159,0
11164,0
65274,0
31886,0
23303,0
68777,0
37573,0
16853,0
44869,1
61862,0
43181,0
33988,0
76444,0
36147,1
28448,0
15044,0
63543,0
8445,0
69107,0
10218,0
51246,0
1816,0
69064,0
722,0
68692,0
60588,0
39806,0
76551,0
41549,0
58707,0
38897,0
37202,1
74880,1
27880,0
17944,0
70250,0
11823,0
25197,0
59236,0
7894,1
43042,0
74365,0
2982,0
16720,0
31700,0
65564,0
28190,0
66187,0
73411,0
65208,0
2788,1
31233,0
42371,0
51491,0
21368,0
10499,0
72644,0
61196,0
52317,0
2880,0
30917,0
57897,0
23968,0
17570,0
35387,0
58269,0
61256,0
75426,0
73764,0
8854,0
72104,0
4104,0
59737,0
48166,0
13883,0
8258,0
23628,0
61541,0
10870,0
11089,0
11604,0
58832,0
17495,1
25913,0
61804,0
61486,0
21443,0
70397,0
24028,0
11539,0
2543,0
23639,1
35978,1
67206,0
4366,0
59032,0
49619,0
2461,0
10871,0
5765,0
3917,0
5664,1
22455,0
33526,0
3330,0
59851,0
49508,0
29583,1
2706,0
48316,0
5773,0
11101,0
60150,0
22082,0
58113,0
13356,0
61775,0
75653,0
66451,0
62362,0
18253,0
8378,0
56866,0
35826,0
15983,0
9044,0
10661,0
27613,0
64660,0
75681,0
51838,0
57946,0
26916,0
27174,0
31898,0
73970,0
15098,0
72884,0
25081,0
61233,0
39552,0
28493,0
69530,0
25460,0
48347,0
20072,0
29211,0
46045,0
57194,0
31712,0
21478,0
43922,0
73252,1
21471,0
23696,1
59850,0
6475,0
62271,0
61398,0
29720,0
27827,0
49744,0
74775,0
40265,0
10534,0
11008,0
76256,0
7173,0
23062,1
14906,0
65443,0
43861,1
29970,1
7195,0
44074,0
64194,0
37343,0
73248,0
16607,0
59553,0
23558,0
64412,0
46003,0
65432,0
64464,0
54072,0
33206,0
24576,0
75780,0
38762,0
29866,0
4526,0
73883,0
74953,0
73765,1
5473,0
31011,0
11266,0
73652,0
33135,0
4889,0
5104,0
8357,0
21669,0
2791,0
45499,0
60611,0
4978,0
12110,0
37594,0
41621,1
19169,0
52579,0
54833,0
18120,0
47029,0
35866,0
50369,0
19645,0
6418,0
52673,0
62418,0
35533,1
50202,1
11808,0
9455,0
22544,0
25986,0
56761,0
73227,0
45298,0
33035,0
30013,0
34772,0
33305,0
1971,0
61575,0
61615,0
53367,0
49350,0
41620,0
4486,0
62652,0
76010,0
7007,0
60422,0
6032,0
64911,0
41039,0
1514,0
11409,0
47271,0
41254,0
46954,0
1933,0
24510,0
61835,0
9295,0
12464,0
27266,0
63746,0
16952,0
3871,0
33167,1
46790,0
12639,0
70113,0
10069,0
21756,1
34360,0
13803,0
76315,0
32497,0
73736,0
59046,0
22074,0
49554,0
54459,0
65704,0
52136,0
44456,0
19913,0
20495,0
1092,0
47920,0
75305,0
51803,0
23707,0
2007,0
25528,0
47223,1
37024,0
51718,0
27572,0
60761,0
67490,0
67540,0
9140,0
15651,1
502,1
19584,0
27659,1
58886,0
57382,0
47964,1
72103,0
3928,0
74192,1
25711,0
854,0
7581,0
25638,0
68183,0
17690,1
4562,0
21880,0
44409,1
3779,0
70401,0
41382,1
3318,0
71927,0
56528,0
32112,0
53737,0
64177,0
59362,0
24415,0
32069,0
68392,0
66609,0
75848,0
45676,1
29705,0
38221,0
64875,0
40956,0
5985,0
43247,0
68899,0
22301,0
27834,0
17451,0
52874,0
14154,0
28008,0
36044,0
72678,0
24847,0
63394,0
75488,0
35462,0
47921,0
51723,0
47204,0
74685,0
27081,0
73790,0
27181,0
34728,0
21940,0
25633,0
54006,0
33876,0
8466,0
61419,0
34752,0
72834,0
10579,0
68115,0
39862,0
71841,0
2333,1
1207,0
4145,0
52732,0
31933,0
11379,0
43050,0
41123,0
10606,0
52070,0
46920,0
34886,0
7046,0
43928,0
34058,0
7726,0
47824,0
562,0
49256,0
54086,0
69673,0
56485,0
9026,0
31176,0
14373,0
19097,0
59879,0
8788,0
72777,0
42022,0
73901,0
30276,0
8262,0
7005,0
5879,0
41265,0
64334,0
68123,0
62489,0
22760,0
18457,0
55840,0
6553,0
11929,0
66144,1
66588,0
3385,0
9014,0
50884,0
60742,0
48516,0
41055,0
42996,0
71958,0
71782,0
16192,0
30487,0
9563,0
44442,0
43779,0
76297,0
61622,0
60021,0
26972,0
1312,0
57937,0
74260,0
14782,0
55794,0
25419,0
19996,1
9553,0
31403,0
46850,0
36305,0
56665,0
12212,0
36504,0
65585,0
43434,0
53062,0
44537,0
65539,0
7959,0
38865,0
45440,0
68233,0
31840,0
8403,1
70448,0
30193,0
37384,0
64086,0
11195,0
4439,1
11542,0
61076,0
74110,0
58101,0
14568,0
1695,0
28060,0
64373,0
62779,0
17865,1
17774,0
9691,0
53637,0
70873,0
61001,0
10215,0
41089,0
11160,0
20085,0
65039,1
47929,0
41957,1
24298,0
20477,0
30585,0
20168,0
6265,0
59377,0
71778,0
27922,0
790,0
30169,0
3080,0
12272,0
46697,0
16646,0
44635,0
6105,0
16194,0
33492,0
25395,0
38202,0
40213,0
38142,0
39273,0
56223,0
73698,0
73419,0
640,0
3461,0
61701,0
21497,0
7497,0
21996,0
38896,0
12112,0
67325,0
16314,0
44027,0
51059,0
21045,0
76202,0
51340,0
59364,0
58151,0
62242,1
57402,0
5315,0
19055,0
25489,0
53285,0
74055,0
23499,0
76104,0
33246,0
12241,0
29614,1
4894,0
1557,0
2546,0
15650,0
34357,0
41263,0
50129,0
43423,0
